天津卫视,igmp://238.1.78.91:6600
太平电视台,igmp://238.1.78.199:7464
太湖新闻,igmp://238.1.79.12:4208
台球,igmp://238.1.78.251:7880
濉溪电视台,igmp://238.1.78.209:7544
宿州新闻,igmp://238.1.78.121:6840
宿州科教,igmp://238.1.78.123:6856
泗县电视台,igmp://238.1.78.193:7416
四川卫视,igmp://238.1.78.71:6440
寿县电视台,igmp://238.1.78.146:7040
石台新闻,igmp://238.1.78.221:7640
生活时尚,igmp://238.1.78.78:6496
深圳卫视,igmp://238.1.78.99:6664
歙县综合,igmp://238.1.78.200:7472
陕西卫视,igmp://238.1.78.88:6576
山西卫视,igmp://238.1.78.95:6632
山东卫视,igmp://238.1.78.66:6400
山东教育频道,igmp://238.1.78.254:7904
厦门卫视,igmp://238.1.78.246:7840
三沙卫视,igmp://238.1.78.27:6144
青海卫视,igmp://238.1.78.102:6688
潜山电视台,igmp://238.1.78.192:7408
祁门综合,igmp://238.1.79.14:4224
宁夏卫视,igmp://238.1.78.109:6744
宁国一套,igmp://238.1.78.216:7600
内蒙古卫视,igmp://238.1.78.103:6696
南陵新闻,igmp://238.1.78.189:7384
墨宝,igmp://238.1.78.39:4104
蒙城新闻,igmp://238.1.79.19:4264
美妆,igmp://238.1.79.5:4152
美人,igmp://238.1.79.1:4120
马鞍山新闻,igmp://238.1.79.15:4232
马鞍山公共,igmp://238.1.78.77:6488
六安综合,igmp://238.1.78.144:7024
六安公共,igmp://238.1.78.145:7032
灵璧新闻,igmp://238.1.79.68:4680
灵璧文旅生活,igmp://238.1.79.69:4688
临泉新闻,igmp://238.1.78.29:6160
辽宁卫视,igmp://238.1.78.92:6608
利辛新闻,igmp://238.1.78.196:7440
乐游,igmp://238.1.78.83:6536
郎溪新闻台,igmp://238.1.78.214:7584
空中课堂,igmp://238.1.78.107:6728
卡酷卡通,igmp://238.1.78.97:6648
军事,igmp://238.1.79.3:4136
军旅剧场,igmp://238.1.78.11:7992
精选,igmp://238.1.78.19:4056
旌德电视台,igmp://238.1.78.215:7592
金寨综合,igmp://238.1.79.21:4280
金鹰卡通,igmp://238.1.78.100:6672
金色频道,igmp://238.1.78.76:6480
界首综合,igmp://238.1.78.195:7432
解密,igmp://238.1.79.6:4160
江西卫视,igmp://238.1.78.86:6560
江苏卫视,igmp://238.1.78.64:6384
鉴赏,igmp://238.1.78.38:4096
家庭影院,igmp://238.1.78.14:4016
吉林卫视,igmp://238.1.78.93:6616
绩溪电视台,igmp://238.1.78.218:7616
霍山电视台,igmp://238.1.78.220:7632
霍邱新闻,igmp://238.1.78.119:6824
徽州区新闻,igmp://238.1.78.138:6976
黄山新闻,igmp://238.1.78.130:6912
黄山公共,igmp://238.1.78.131:6920
淮南新闻,igmp://238.1.78.113:6776
淮北新闻,igmp://238.1.78.135:6952
淮北公共,igmp://238.1.78.136:6960
湖南卫视,igmp://238.1.78.67:6408
湖北卫视,igmp://238.1.78.94:6624
黑龙江卫视,igmp://238.1.78.98:6656
河南卫视,igmp://238.1.78.69:6424
河北卫视,igmp://238.1.78.87:6568
好学生,igmp://238.1.78.18:4048
海南卫视,igmp://238.1.78.49:6264
国学,igmp://238.1.78.34:4064
贵州卫视,igmp://238.1.78.90:6592
广西卫视,igmp://238.1.78.70:6432
广东卫视,igmp://238.1.78.68:6416
广德新闻台,igmp://238.1.78.212:7568
广德生活台,igmp://238.1.78.213:7576
光影,igmp://238.1.78.40:4112
固镇新闻,igmp://238.1.79.47:4488
古装剧场,igmp://238.1.78.12:4000
高网,igmp://238.1.78.252:7888
甘肃卫视,igmp://238.1.78.108:6736
阜阳新闻,igmp://238.1.78.124:6864
阜阳教育,igmp://238.1.78.126:6880
阜阳公共,igmp://238.1.78.125:6872
阜阳都市,igmp://238.1.78.127:6888
阜南新闻,igmp://238.1.79.11:4200
肥西新闻,igmp://238.1.78.185:7352
繁昌新闻,igmp://238.1.78.190:7392
法治天地,igmp://238.1.78.84:6544
都市剧场,igmp://238.1.78.74:6464
动作影院,igmp://238.1.78.13:4008
动漫秀场,igmp://238.1.78.79:6504
动画,igmp://238.1.78.37:4088
东至新闻,igmp://238.1.79.13:4216
东南卫视,igmp://238.1.78.62:6368
东方卫视,igmp://238.1.78.44:6224
