央视,#genre#
海南三沙卫视,http://117.114.153.18:8182/hls/TV00000000000000000041@HHZT.m3u8

香港,#genre#
香港星空卫视,http://117.114.153.18:8182/hls/TV00000000000000000071@HHZT.m3u8
香港星空卫视音乐台,http://117.114.153.18:8182/hls/TV00000000000000000067@HHZT.m3u8
香港星空卫视体育台,http://117.114.153.18:8182/hls/TV00000000000000000070@HHZT.m3u8
香港星空卫视体育台,http://117.114.153.18:8182/hls/TV00000000000000000111@HHZT.m3u8
香港星空卫视电影台,http://117.114.153.18:8182/hls/TV00000000000000000075@HHZT.m3u8
香港凤凰卫视资讯台,http://117.114.153.18:8182/hls/TV00000000000000000068@HHZT.m3u8
香港凤凰卫视资讯台,http://117.114.153.18:8182/hls/TV00000000000000000110@HHZT.m3u8
香港凤凰卫视中文台,http://117.114.153.18:8182/hls/TV00000000000000000069@HHZT.m3u8
香港凤凰卫视电影台,http://117.114.153.18:8182/hls/TV00000000000000000072@HHZT.m3u8

国家级频道,#genre#
中国教育电视台综合教育频道CETV-1,http://117.114.153.18:8182/hls/TV00000000000000000007@HHZT.m3u8
CHC-家庭影院,http://117.114.153.18:8182/hls/TV00000000000000000092@HHZT.m3u8
CHC-家庭影院,http://117.114.153.18:8182/hls/TV00000000000000000195@HHZT.m3u8
CHC-动作电影,http://117.114.153.18:8182/hls/TV00000000000000000093@HHZT.m3u8
CHC-影迷电影,http://117.114.153.18:8182/hls/TV00000000000000000094@HHZT.m3u8
CHC-影迷电影,http://117.114.153.18:8182/hls/TV00000000000000000115@HHZT.m3u8

海外,#genre#
韩国KBS电视台国际频道KBS WORLD,http://117.114.153.18:8182/hls/TV00000000000000000166@HHZT.m3u8
日本索尼动作影视娱乐频道AXN,http://117.114.153.18:8182/hls/TV00000000000000000076@HHZT.m3u8
日本广播协会NHK,http://117.114.153.18:8182/hls/TV00000000000000000161@HHZT.m3u8
美国彭博电视Bloomberg Television,http://117.114.153.18:8182/hls/TV00000000000000000163@HHZT.m3u8
美国Cinemax电影台,http://117.114.153.18:8182/hls/TV00000000000000000109@HHZT.m3u8
美国有线电视新闻网CNN,http://117.114.153.18:8182/hls/TV00000000000000000108@HHZT.m3u8
美国探索频道Discovery Channel,http://117.114.153.18:8182/hls/TV00000000000000000077@HHZT.m3u8
美国家庭电影台HBO,http://117.114.153.18:8182/hls/TV00000000000000000074@HHZT.m3u8
美国国家地理频道National Geographic,http://117.114.153.18:8182/hls/TV00000000000000000112@HHZT.m3u8
法国电视国际五台TV5 MONDE,http://117.114.153.18:8182/hls/TV00000000000000000162@HHZT.m3u8
