四川广电,#group#
汽摩,http://ajsccn.f3322.net:4022/udp/239.132.1.98:5000
川网导视,http://ajsccn.f3322.net:4022/udp/239.132.1.100:5000
精品导视,http://ajsccn.f3322.net:4022/udp/239.132.1.101:5000
天下收藏,http://ajsccn.f3322.net:4022/udp/239.132.1.103:5000
游戏风云,http://ajsccn.f3322.net:4022/udp/239.132.1.104:5000
法制天地,http://ajsccn.f3322.net:4022/udp/239.132.1.105:5000
中央新影发现之旅,http://ajsccn.f3322.net:4022/udp/239.132.1.107:5000
中央新影老故事,http://ajsccn.f3322.net:4022/udp/239.132.1.108:5000
金鹰卡通,http://ajsccn.f3322.net:4022/udp/239.132.1.110:5000
财富天下,http://ajsccn.f3322.net:4022/udp/239.132.1.111:5000
梨园频道,http://ajsccn.f3322.net:4022/udp/239.132.1.118:5000
武术世界,http://ajsccn.f3322.net:4022/udp/239.132.1.119:5000
天府一品,http://ajsccn.f3322.net:4022/udp/239.132.1.126:5000
金色学堂,http://ajsccn.f3322.net:4022/udp/239.132.1.128:5000
新动漫,http://ajsccn.f3322.net:4022/udp/239.132.1.134:5000
嘉佳卡通,http://ajsccn.f3322.net:4022/udp/239.132.1.136:5000
CETV2,http://ajsccn.f3322.net:4022/udp/239.132.1.140:5000
卡酷少儿,http://ajsccn.f3322.net:4022/udp/239.132.1.142:5000
重温经典,http://ajsccn.f3322.net:4022/udp/239.132.1.147:5000
生态环境,http://ajsccn.f3322.net:4022/udp/239.132.1.153:5000
星空购物,http://ajsccn.f3322.net:4022/udp/239.132.1.167:5000
聚鲨鱼购物,http://ajsccn.f3322.net:4022/udp/239.132.1.176:5000
CCTV俄语,http://ajsccn.f3322.net:4022/udp/239.132.1.186:5000
湖南卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.198:5000
XJTV,http://ajsccn.f3322.net:4022/udp/239.132.1.200:5000


CCTV-1,udp://239.132.1.1:5000
CCTV-2,udp://239.132.1.2:5000
CCTV-3,udp://239.132.1.3:5000
CCTV-4,udp://239.132.1.4:5000
CCTV-5,udp://239.132.1.5:5000
CCTV-6,udp://239.132.1.6:5000
CCTV-7,udp://239.132.1.7:5000
CCTV-8,udp://239.132.1.8:5000
CCTV-9,udp://239.132.1.9:5000
CCTV-10,udp://239.132.1.10:5000
CCTV-11,udp://239.132.1.11:5000
CCTV-12,udp://239.132.1.12:5000
CCTV-13,udp://239.132.1.13:5000
CCTV-14,udp://239.132.1.14:5000
CCTV-15,udp://239.132.1.15:5000
CCTV-16,udp://239.132.1.180:5000
CCTV-17,udp://239.132.1.83:5000
CCTV-5+,udp://239.132.1.16:5000
CCTV-4K,udp://239.132.1.82:5000
四川卫视,udp://239.132.1.44:5000
四川经济,udp://239.132.1.46:5000
四川文化旅游,udp://239.132.1.45:5000
四川新闻,udp://239.132.1.47:5000
四川影视文艺,udp://239.132.1.48:5000
SCTV-7,udp://239.132.1.49:5000
四川乡村,udp://239.132.1.51:5000
四川科教,udp://239.132.1.50:5000
峨嵋电影,udp://239.132.1.52:5000
SCCN川网导视,udp://239.132.1.100:5000
重温经典,udp://239.132.1.47:5000
法治天地,udp://239.132.1.105:5000
德阳新闻综合,udp://239.132.8.1:5000
德阳文旅科教,udp://239.132.8.2:5000
3,udp://239.132.8.3:5000
4,udp://239.132.8.4:5000
5,udp://239.132.8.5:5000
6,udp://239.132.8.6:5000
中江综合频道,udp://239.132.8.7:5000
8,udp://239.132.8.8:5000
10,udp://239.132.8.10:5000
CETV,udp://239.132.1.81:5000
CETN,udp://239.132.1.157:5000
欢笑剧场,udp://239.132.1.183:5000
4K超高清电影,udp://239.132.1.87:5000
江苏卫视,udp://239.132.1.18:5000
新疆卫视,udp://239.132.1.139:5000
西藏卫视,udp://239.132.1.88:5000
康巴卫视,udp://239.132.1.90:5000
湖南卫视,udp://239.132.1.21:5000
青海卫视,udp://239.132.1.89:5000
山西卫视,udp://239.132.1.42:5000
海南卫视,udp://239.132.1.138:5000
甘肃卫视,udp://239.132.1.143:5000
北京卫视,udp://239.132.1.17:5000
江西卫视,udp://239.132.1.18:5000
天津卫视,udp://239.132.1.27:5000
深圳卫视,udp://239.132.1.20:5000
山东卫视,udp://239.132.1.23:5000
浙江卫视,udp://239.132.1.22:5000
东方卫视,udp://239.132.1.19:5000
重庆卫视,udp://239.132.1.29:5000
东南卫视,udp://239.132.1.24:5000
安徽卫视,udp://239.132.1.25:5000
湖北卫视,udp://239.132.1.28:5000
