咪咕体育04,rtp://239.0.2.211:5000
咪咕体育05,rtp://239.0.2.212:5000
咪咕体育06,rtp://239.0.2.213:5000
咪咕体育07,rtp://239.0.2.214:5000
咪咕体育08,rtp://239.0.2.215:5000
咪咕体育09,rtp://239.0.2.216:5000
咪咕体育10,rtp://239.0.2.217:5000
咪咕体育11,rtp://239.0.2.218:5000
咪咕体育12,rtp://239.0.2.219:5000
咪咕体育13,rtp://239.0.2.220:5000
咪咕体育14,rtp://239.0.2.221:5000
咪咕体育15,rtp://239.0.2.222:5000
咪咕体育16,rtp://239.0.2.223:5000
咪咕体育17,rtp://239.0.2.224:5000
咪咕体育18,rtp://239.0.2.225:5000
咪咕体育19,rtp://239.0.2.226:5000
咪咕体育20,rtp://239.0.2.227:5000
咪咕体育21,rtp://239.0.2.228:5000
咪咕体育22,rtp://239.0.2.229:5000
咪咕体育26 4K,rtp://239.0.2.233:5000
百视通1,rtp://225.1.1.162:5000
百视通2,rtp://225.1.1.163:5000
百视通3,rtp://225.1.1.164:5000
百视通4,rtp://225.1.1.165:5000
百视通5,rtp://225.1.1.166:5000
百视通6,rtp://225.1.1.167:5000
百视通7,rtp://225.1.1.168:5000
百视通8,rtp://225.1.1.169:5000
百视通9,rtp://225.1.1.170:5000
百视通10,rtp://225.1.1.211:5000
百视通11,rtp://225.1.1.212:5000
